participant,common_word,rare_word
1,703,808
2,822,810
3,887,706
4,612,803
5,834,761
6,840,769
7,754,837
8,756,895
9,755,982
10,729,788
11,762,978
12,720,757
13,738,903
14,805,1054
15,877,847
16,791,796
17,759,849
18,727,992
19,733,759
20,993,959
21,811,956
22,761,877
23,765,851
24,837,814
25,745,821
26,684,902
27,846,1016
28,718,838
29,799,739
30,725,792
31,888,871
32,762,825
33,743,836
34,760,836
35,670,740
36,707,836
37,626,918
38,693,906
39,776,894
40,763,818
41,916,835
42,715,754
43,732,846
44,778,870
45,720,986
46,723,930
47,711,810
48,700,878
